pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_80g左右,specInfo_65g左右,specInfo_125g左右,specInfo_110g左右,specInfo_100g左右,specInfo_75g左右,specInfo_150g左右,prodPcat_虾蟹类,prodPcat_其他类
2022-07-24,73.5,205,6,7,-0.37770796520396466,-0.9259247771938499,73.5,73.5,73.5,73.5,73.5,False,False,True,False,False,False,False,True,False
2022-07-24,57.5,205,6,7,-0.37770796520396466,-0.9259247771938499,57.5,57.5,57.5,57.5,57.5,False,False,False,False,False,False,True,True,False
2022-07-24,50.0,205,6,7,-0.37770796520396466,-0.9259247771938499,50.0,50.0,50.0,50.0,50.0,False,False,False,False,False,True,False,True,False
2022-07-24,62.5,205,6,7,-0.37770796520396466,-0.9259247771938499,62.5,62.5,62.5,42.5,62.5,False,False,False,False,True,False,False,False,True
2022-07-24,42.5,205,6,7,-0.37770796520396466,-0.9259247771938499,42.5,40.0,40.0,40.0,40.333333333333336,True,False,False,False,False,False,False,True,False
2022-07-24,32.5,205,6,7,-0.37770796520396466,-0.9259247771938499,32.5,30.0,30.0,30.0,30.333333333333332,False,True,False,False,False,False,False,True,False
2022-07-24,42.5,205,6,7,-0.37770796520396466,-0.9259247771938499,42.5,42.5,42.5,33.0,42.5,False,False,False,False,False,True,False,False,True
2022-07-24,71.0,205,6,7,-0.37770796520396466,-0.9259247771938499,71.0,71.0,71.0,55.5,71.0,False,False,True,False,False,False,False,False,True
2022-07-25,73.5,206,0,7,-0.39359027665646645,-0.9192859697186105,73.5,73.5,73.5,73.5,73.5,False,False,False,True,False,False,False,True,False
2022-07-25,50.0,206,0,7,-0.39359027665646645,-0.9192859697186105,50.0,50.0,50.0,50.0,50.0,False,False,False,False,False,True,False,True,False
2022-07-25,62.5,206,0,7,-0.39359027665646645,-0.9192859697186105,62.5,62.5,62.5,42.5,62.5,False,False,False,False,True,False,False,False,True
2022-07-25,42.5,206,0,7,-0.39359027665646645,-0.9192859697186105,42.5,41.0,40.0,40.0,40.416666666666664,True,False,False,False,False,False,False,True,False
2022-07-25,32.5,206,0,7,-0.39359027665646645,-0.9192859697186105,32.5,31.0,30.0,30.0,30.416666666666668,False,True,False,False,False,False,False,True,False
2022-07-25,80.0,206,0,7,-0.39359027665646645,-0.9192859697186105,80.0,80.0,80.0,67.5,80.0,False,False,False,False,False,False,True,False,True
2022-07-25,73.5,206,0,7,-0.39359027665646645,-0.9192859697186105,73.5,73.5,73.5,73.5,73.5,False,False,True,False,False,False,False,True,False
2022-07-25,71.0,206,0,7,-0.39359027665646645,-0.9192859697186105,71.0,71.0,71.0,51.5,71.0,False,False,True,False,False,False,False,False,True
2022-07-25,42.5,206,0,7,-0.39359027665646645,-0.9192859697186105,42.5,42.5,42.5,33.0,42.5,False,False,False,False,False,True,False,False,True
2022-07-25,42.5,206,0,7,-0.39359027665646645,-0.9192859697186105,42.5,42.5,42.5,42.5,42.5,False,False,False,False,True,False,False,True,False
