pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_腌渍,prodPcat_其他类
2022-11-16,11.5,320,2,11,-0.6994583270516471,0.7146733860429608,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-17,11.5,321,3,11,-0.6870527672236675,0.7266075247685652,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-18,11.5,322,4,11,-0.6744436188329457,0.7383263540031063,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-19,11.5,323,5,11,-0.661634618242279,0.749826401204568,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-20,11.5,324,6,11,-0.6486295610349818,0.7611042586607742,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-21,11.5,325,0,11,-0.6354323008901775,0.7721565844991641,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-22,11.5,326,1,11,-0.622046748440868,0.7829801036770624,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-23,11.5,327,2,11,-0.6084768701151264,0.7935716089521472,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-24,11.5,328,3,11,-0.594726686960764,0.8039279618328208,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-25,11.5,329,4,11,-0.5808002734538013,0.8140460935082175,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-26,11.5,330,5,11,-0.5667017562911184,0.8239230057575536,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-27,11.5,331,6,11,-0.5524353131676203,0.8335557718385695,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-28,11.5,332,0,11,-0.5380051715382992,0.8429415373547832,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-29,11.5,333,1,11,-0.5234156073655503,0.8520775211013093,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-30,11.5,334,2,11,-0.5086709438521042,0.8609610158889945,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-01,11.5,335,3,12,-0.49377555015997737,0.8695893893466109,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-02,11.5,336,4,12,-0.4787338401157883,0.8779600847008883,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-03,11.5,337,5,12,-0.4635502709028512,0.8860706215341378,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-04,11.5,338,6,12,-0.4482293417404106,0.893918596519257,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-05,11.5,339,0,12,-0.4327755925504317,0.9015016841318838,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-06,11.5,340,1,12,-0.41719360261231697,0.9088176373395028,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-07,11.5,341,2,12,-0.4014879892059737,0.9158642882672868,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-08,11.5,342,3,12,-0.38566340624360745,0.9226395488404875,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-09,11.5,343,4,12,-0.3697245428906732,0.9291414114031743,11.5,11.5,11.5,8.5,11.5,True,True
