pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_红心,specInfo_UNKNOWN,prodPcat_进口果
2022-09-28,5.0,271,2,9,-0.9988797155850335,-0.04732138832243232,5.0,5.0,5.0,4.825,5.0,True,False,True
2022-09-28,4.025,271,2,9,-0.9988797155850335,-0.04732138832243232,4.0375,4.1125,4.45,3.75,4.215416666666666,False,True,True
2022-09-29,5.0,272,3,9,-0.9995462806873573,-0.03012030484690836,5.0,5.0,5.0,4.7875,5.0,True,False,True
2022-09-29,4.0125,272,3,9,-0.9995462806873573,-0.03012030484690836,4.025,4.1,4.433333333333334,3.75,4.201388888888889,False,True,True
2022-09-30,5.0,273,4,9,-0.9999166586547379,-0.012910296075008843,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-09-30,4.0,273,4,9,-0.9999166586547379,-0.012910296075008843,4.0125,4.0875,4.416666666666666,3.75,4.1875,False,True,True
2022-10-01,5.0,274,5,10,-0.9999907397361901,0.004303538296243821,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-01,3.9875,274,5,10,-0.9999907397361901,0.004303538296243821,4.0,4.075,4.3999999999999995,3.75,4.17375,False,True,True
2022-10-02,5.0,275,6,10,-0.9997685019798909,0.021516097436222233,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-02,3.975,275,6,10,-0.9997685019798909,0.021516097436222233,3.9875,4.0625,4.383333333333333,3.75,4.1601388888888895,False,True,True
2022-10-03,5.0,276,0,10,-0.9992500112396835,0.03872228089217399,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-03,3.9625,276,0,10,-0.9992500112396835,0.03872228089217399,3.975,4.05,4.366666666666666,3.75,4.1466666666666665,False,True,True
2022-10-04,5.0,277,1,10,-0.9984354211555643,0.05591699010060302,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-04,3.95,277,1,10,-0.9984354211555643,0.05591699010060302,3.9625,4.0375,4.35,3.75,4.133333333333334,False,True,True
2022-10-05,3.9375,278,2,10,-0.9973249731081555,0.07309512989807776,3.95,4.025,4.333333333333333,3.75,4.1201388888888895,False,True,True
2022-10-05,5.0,278,2,10,-0.9973249731081555,0.07309512989807776,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-06,5.0,279,3,10,-0.9959189961471792,0.0902516100310407,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-06,3.925,279,3,10,-0.9959189961471792,0.0902516100310407,3.9375,4.0125,4.316666666666666,3.75,4.107083333333333,False,True,True
