pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_标桂,prodPcat_淡水鱼
2022-12-16,32.0,350,4,12,-0.2553532951161881,0.9668478136052773,32.0,32.0,35.5,35.0,31.85,True,True
2022-12-17,32.0,351,5,12,-0.23867276600594997,0.9711000518829505,32.0,32.0,33.5,35.0,31.8,True,True
2022-12-18,32.0,352,6,12,-0.22192151300416674,0.9750645322571945,32.0,32.0,32.0,35.0,31.8,True,True
2022-12-19,32.0,353,0,12,-0.20510449986861926,0.9787400799669153,32.0,32.0,32.0,35.0,31.8,True,True
2022-12-20,32.0,354,1,12,-0.1882267098432439,0.9821256058680006,32.0,32.0,32.0,35.0,31.8,True,True
2022-12-21,32.0,355,2,12,-0.1712931441814778,0.9852201067560606,32.0,32.0,32.0,35.0,31.8,True,True
2022-12-22,32.0,356,3,12,-0.154308820664281,0.9880226656636976,32.0,32.0,32.0,35.0,31.8,True,True
2022-12-23,32.0,357,4,12,-0.13727877211326517,0.9905324521322227,32.0,32.0,32.0,35.0,31.8,True,True
2022-12-24,32.0,358,5,12,-0.12020804489935275,0.9927487224577402,32.0,32.0,31.0,35.0,31.833333333333332,True,True
2022-12-25,32.0,359,6,12,-0.10310169744743544,0.9946708199115211,32.0,32.0,31.0,35.0,31.866666666666667,True,True
2022-12-26,32.0,360,0,12,-0.0859647987374467,0.9962981749346077,32.0,32.0,31.0,35.0,31.9,True,True
2022-12-27,32.0,361,1,12,-0.06880242680232064,0.9976303053065857,32.0,32.0,31.0,35.0,31.933333333333334,True,True
2022-12-28,31.5,362,2,12,-0.05161966722325418,0.9986668162884759,32.0,32.0,31.0,35.0,31.95,True,True
2022-12-29,31.5,363,3,12,-0.034421611622745804,0.9994074007397048,31.5,32.0,31.0,35.0,31.966666666666665,True,True
2022-12-30,31.5,364,4,12,-0.01721335615583528,0.9998518392091162,31.5,32.0,32.0,37.0,31.95,True,True
2022-12-31,31.5,365,5,12,6.432490598706546e-16,1.0,31.5,32.0,32.0,37.0,31.933333333333334,True,True
2023-01-01,31.5,1,6,1,0.017213356155834685,0.9998518392091162,31.5,32.0,32.0,38.0,31.916666666666668,True,True
2023-01-02,31.5,2,0,1,0.03442161162274574,0.9994074007397048,31.5,32.0,32.0,39.0,31.9,True,True
2023-01-03,31.5,3,1,1,0.051619667223253764,0.998666816288476,31.5,32.0,32.0,39.0,31.883333333333333,True,True
2023-01-04,31.5,4,2,1,0.06880242680231986,0.9976303053065857,31.5,31.5,32.0,39.0,31.866666666666667,True,True
2023-01-05,31.5,5,3,1,0.08596479873744647,0.9962981749346078,31.5,31.5,32.0,39.0,31.85,True,True
2023-01-06,31.5,6,4,1,0.10310169744743485,0.9946708199115211,31.5,31.5,32.0,39.0,31.833333333333332,True,True
2023-01-07,31.5,7,5,1,0.1202080448993527,0.9927487224577402,31.5,31.5,32.0,39.0,31.816666666666666,True,True
2023-01-08,31.5,8,6,1,0.13727877211326478,0.9905324521322229,31.5,31.5,32.0,39.0,31.8,True,True
2023-01-09,32.5,9,0,1,0.15430882066428117,0.9880226656636976,31.5,31.5,32.0,39.0,31.816666666666666,True,True
2023-01-10,32.5,10,1,1,0.1712931441814776,0.9852201067560606,32.5,31.5,32.0,39.0,31.833333333333332,True,True
2023-01-11,33.5,11,2,1,0.1882267098432442,0.9821256058680006,32.5,31.5,32.0,39.0,31.883333333333333,True,True
2023-01-12,33.5,12,3,1,0.2051044998686192,0.9787400799669153,33.5,31.5,32.0,39.0,31.933333333333334,True,True
2023-01-13,33.5,13,4,1,0.2219215130041655,0.9750645322571948,33.5,31.5,32.0,39.0,31.983333333333334,True,True
2023-01-14,33.5,14,5,1,0.2386727660059501,0.9711000518829505,33.5,31.5,32.0,39.0,32.03333333333333,True,True
2023-01-15,33.5,15,6,1,0.255353295116187,0.9668478136052775,33.5,31.5,32.0,39.0,32.083333333333336,True,True
2023-01-16,33.5,16,0,1,0.2719581575341055,0.9623090774541486,33.5,32.5,32.0,39.0,32.13333333333333,True,True
2023-01-17,33.5,17,1,1,0.288482432880609,0.9574851883550393,33.5,32.5,32.0,40.0,32.18333333333333,True,True
2023-01-18,33.5,18,2,1,0.30492122465628907,0.9523775757303974,33.5,33.5,32.0,40.0,32.233333333333334,True,True
2023-01-19,33.5,19,3,1,0.3212696616923644,0.9469877530760753,33.5,33.5,32.0,41.0,32.28333333333333,True,True
2023-01-20,33.888888888888886,20,4,1,0.3375228995941133,0.9413173175128471,33.5,33.5,32.0,41.0,32.346296296296295,True,True
2023-01-21,34.27777777777778,21,5,1,0.3536761221763716,0.9353679493131483,33.888888888888886,33.5,32.0,41.0,32.422222222222224,True,True
2023-01-22,34.666666666666664,22,6,1,0.3697245428906731,0.9291414114031743,34.27777777777778,33.5,32.0,41.0,32.51111111111111,True,True
2023-01-23,35.05555555555556,23,0,1,0.38566340624360707,0.9226395488404876,34.666666666666664,33.5,32.0,41.0,32.61296296296296,True,True
2023-01-24,35.44444444444444,24,1,1,0.401487989205973,0.9158642882672872,35.05555555555556,33.5,32.0,40.5,32.72777777777778,True,True
2023-01-25,35.833333333333336,25,2,1,0.4171936026123168,0.9088176373395029,35.44444444444444,33.5,32.0,42.0,32.855555555555554,True,True
2023-01-26,36.22222222222222,26,3,1,0.4327755925504312,0.901501684131884,35.833333333333336,33.5,32.0,43.5,32.9962962962963,True,True
2023-01-27,36.611111111111114,27,4,1,0.4482293417404106,0.893918596519257,36.22222222222222,33.888888888888886,31.5,44.5,33.166666666666664,True,True
2023-01-28,37.0,28,5,1,0.4635502709028509,0.886070621534138,36.611111111111114,34.27777777777778,31.5,45.5,33.35,True,True
2023-01-29,37.0,29,6,1,0.47873384011578846,0.8779600847008882,37.0,34.666666666666664,31.5,45.5,33.53333333333333,True,True
2023-01-30,34.5,30,0,1,0.49377555015997715,0.869589389346611,37.0,35.05555555555556,31.5,45.44444444444444,33.63333333333333,True,True
2023-01-31,34.5,31,1,1,0.5086709438521044,0.8609610158889943,34.5,35.44444444444444,31.5,45.388888888888886,33.733333333333334,True,True
2023-02-01,33.0,32,2,2,0.5234156073655503,0.8520775211013093,34.5,35.833333333333336,31.5,45.333333333333336,33.78333333333333,True,True
2023-02-02,33.0,33,3,2,0.5380051715382996,0.8429415373547828,33.0,36.22222222222222,31.5,45.27777777777778,33.833333333333336,True,True
2023-02-03,33.0,34,4,2,0.5524353131676196,0.8335557718385699,33.0,36.611111111111114,31.5,45.22222222222222,33.88333333333333,True,True
2023-02-04,33.0,35,5,2,0.5667017562911176,0.8239230057575542,33.0,37.0,31.5,45.166666666666664,33.93333333333333,True,True
2023-02-05,33.0,36,6,2,0.5808002734538009,0.8140460935082178,33.0,37.0,31.5,45.111111111111114,33.983333333333334,True,True
2023-02-06,33.0,37,0,2,0.5947266869607634,0.8039279618328213,33.0,34.5,31.5,45.05555555555556,34.03333333333333,True,True
2023-02-07,32.5,38,1,2,0.6084768701151261,0.7935716089521474,33.0,34.5,31.5,45.0,34.06666666666667,True,True
2023-02-08,32.5,39,2,2,0.6220467484408675,0.7829801036770629,32.5,33.0,32.5,45.0,34.06666666666667,True,True
2023-02-09,32.5,40,3,2,0.6354323008901774,0.7721565844991642,32.5,33.0,32.5,45.0,34.06666666666667,True,True
2023-02-10,32.5,41,4,2,0.6486295610349814,0.7611042586607747,32.5,33.0,33.5,42.0,34.03333333333333,True,True
2023-02-11,32.5,42,5,2,0.6616346182422783,0.7498264012045686,32.5,33.0,33.5,42.0,34.0,True,True
2023-02-12,32.5,43,6,2,0.6744436188329455,0.7383263540031065,32.5,33.0,33.5,42.0,33.96666666666667,True,True
2023-02-13,32.5,44,0,2,0.6870527672236669,0.7266075247685656,32.5,33.0,33.5,42.0,33.93333333333333,True,True
2023-02-14,32.5,45,1,2,0.699458327051647,0.7146733860429609,32.5,32.5,33.5,42.0,33.9,True,True
