pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_散,prodPcat_UNKNOWN
2023-02-14,4.5,45,1,2,0.699458327051647,0.7146733860429609,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-15,4.5,46,2,2,0.7116566222817746,0.7025274741691571,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-16,4.5,47,3,2,0.7236440382959124,0.6901733882429719,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-17,4.5,48,4,2,0.7354170229639855,0.6776147890466889,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-18,4.5,49,5,2,0.7469720876965552,0.6648553979642865,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-19,4.5,50,6,2,0.7583058084785624,0.6518989958787126,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-20,4.5,51,0,2,0.7694148268839378,0.6387494220515272,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-21,4.5,52,1,2,0.7802958510707755,0.6254105729852463,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-22,4.5,53,2,2,0.7909456567567772,0.6118864012687243,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-23,4.5,54,3,2,0.8013610881746766,0.5981809144059165,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-24,4.5,55,4,2,0.8115390590073611,0.5842981736283684,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-25,4.5,56,5,2,0.8214765533024142,0.5702422926917871,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-26,4.5,57,6,2,0.8311706263658079,0.5560174366570446,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-27,4.5,58,0,2,0.8406184056344782,0.5416278206559814,4.5,4.5,4.5,5.0,4.5,True,True
