pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_里脊,prodPcat_牛肉类
2022-11-21,36.0,325,0,11,-0.6354323008901775,0.7721565844991641,36.0,36.0,37.0,37.0,36.733333333333334,True,True
2022-11-22,36.0,326,1,11,-0.622046748440868,0.7829801036770624,36.0,36.0,37.0,37.0,36.7,True,True
2022-11-23,36.0,327,2,11,-0.6084768701151264,0.7935716089521472,36.0,36.0,37.0,37.0,36.666666666666664,True,True
2022-11-24,36.0,328,3,11,-0.594726686960764,0.8039279618328208,36.0,36.0,37.0,37.0,36.63333333333333,True,True
2022-11-25,36.5,329,4,11,-0.5808002734538013,0.8140460935082175,36.0,36.0,37.0,37.0,36.61666666666667,True,True
2022-11-26,36.5,330,5,11,-0.5667017562911184,0.8239230057575536,36.5,36.0,37.0,37.0,36.6,True,True
2022-11-27,36.5,331,6,11,-0.5524353131676203,0.8335557718385695,36.5,36.0,37.0,37.0,36.583333333333336,True,True
2022-11-28,36.5,332,0,11,-0.5380051715382992,0.8429415373547832,36.5,36.0,37.0,37.0,36.56666666666667,True,True
2022-11-29,36.5,333,1,11,-0.5234156073655503,0.8520775211013093,36.5,36.0,37.0,37.0,36.55,True,True
2022-11-30,36.5,334,2,11,-0.5086709438521042,0.8609610158889945,36.5,36.0,37.0,37.0,36.53333333333333,True,True
2022-12-01,36.5,335,3,12,-0.49377555015997737,0.8695893893466109,36.5,36.0,37.0,37.0,36.516666666666666,True,True
2022-12-02,36.5,336,4,12,-0.4787338401157883,0.8779600847008883,36.5,36.5,37.0,37.0,36.5,True,True
2022-12-03,36.5,337,5,12,-0.4635502709028512,0.8860706215341378,36.5,36.5,37.0,37.0,36.483333333333334,True,True
2022-12-04,36.5,338,6,12,-0.4482293417404106,0.893918596519257,36.5,36.5,37.0,37.0,36.46666666666667,True,True
2022-12-05,36.5,339,0,12,-0.4327755925504317,0.9015016841318838,36.5,36.5,37.0,37.0,36.45,True,True
2022-12-06,36.5,340,1,12,-0.41719360261231697,0.9088176373395028,36.5,36.5,37.0,37.0,36.43333333333333,True,True
2022-12-07,36.5,341,2,12,-0.4014879892059737,0.9158642882672868,36.5,36.5,37.0,37.0,36.416666666666664,True,True
2022-12-08,36.5,342,3,12,-0.38566340624360745,0.9226395488404875,36.5,36.5,37.0,37.0,36.4,True,True
2022-12-09,36.5,343,4,12,-0.3697245428906732,0.9291414114031743,36.5,36.5,37.0,37.0,36.38333333333333,True,True
2022-12-10,36.5,344,5,12,-0.3536761221763721,0.935367949313148,36.5,36.5,37.0,37.0,36.36666666666667,True,True
2022-12-11,36.5,345,6,12,-0.33752289959411347,0.941317317512847,36.5,36.5,37.0,37.0,36.35,True,True
2022-12-12,36.5,346,0,12,-0.32126966169236515,0.9469877530760751,36.5,36.5,37.0,37.0,36.333333333333336,True,True
2022-12-13,36.5,347,1,12,-0.3049212246562894,0.9523775757303973,36.5,36.5,37.0,36.5,36.31666666666667,True,True
2022-12-14,36.5,348,2,12,-0.2884824328806098,0.9574851883550389,36.5,36.5,36.0,36.5,36.333333333333336,True,True
2022-12-15,36.5,349,3,12,-0.27195815753410524,0.9623090774541487,36.5,36.5,36.0,36.5,36.35,True,True
2022-12-16,36.5,350,4,12,-0.2553532951161881,0.9668478136052773,36.5,36.5,36.0,36.5,36.36666666666667,True,True
2022-12-17,36.5,351,5,12,-0.23867276600594997,0.9711000518829505,36.5,36.5,36.0,36.5,36.38333333333333,True,True
2022-12-18,36.5,352,6,12,-0.22192151300416674,0.9750645322571945,36.5,36.5,36.0,37.0,36.4,True,True
2022-12-19,36.5,353,0,12,-0.20510449986861926,0.9787400799669153,36.5,36.5,36.0,36.5,36.416666666666664,True,True
2022-12-20,36.5,354,1,12,-0.1882267098432439,0.9821256058680006,36.5,36.5,36.0,36.5,36.43333333333333,True,True
2022-12-21,36.5,355,2,12,-0.1712931441814778,0.9852201067560606,36.5,36.5,36.0,36.5,36.45,True,True
2022-12-22,36.5,356,3,12,-0.154308820664281,0.9880226656636976,36.5,36.5,36.0,36.5,36.46666666666667,True,True
2022-12-23,36.5,357,4,12,-0.13727877211326517,0.9905324521322227,36.5,36.5,36.0,36.5,36.483333333333334,True,True
2022-12-24,36.5,358,5,12,-0.12020804489935275,0.9927487224577402,36.5,36.5,36.0,37.5,36.5,True,True
2022-12-25,36.5,359,6,12,-0.10310169744743544,0.9946708199115211,36.5,36.5,36.5,37.5,36.5,True,True
2022-12-26,36.5,360,0,12,-0.0859647987374467,0.9962981749346077,36.5,36.5,36.5,37.5,36.5,True,True
2022-12-27,36.5,361,1,12,-0.06880242680232064,0.9976303053065857,36.5,36.5,36.5,37.5,36.5,True,True
2022-12-28,36.5,362,2,12,-0.05161966722325418,0.9986668162884759,36.5,36.5,36.5,37.5,36.5,True,True
2022-12-29,36.5,363,3,12,-0.034421611622745804,0.9994074007397048,36.5,36.5,36.5,37.5,36.5,True,True
2022-12-30,36.5,364,4,12,-0.01721335615583528,0.9998518392091162,36.5,36.5,36.5,37.5,36.5,True,True
2022-12-31,37.0,365,5,12,6.432490598706546e-16,1.0,36.5,36.5,36.5,37.5,36.516666666666666,True,True
2023-01-01,37.0,1,6,1,0.017213356155834685,0.9998518392091162,37.0,36.5,36.5,37.5,36.53333333333333,True,True
2023-01-02,37.0,2,0,1,0.03442161162274574,0.9994074007397048,37.0,36.5,36.5,37.5,36.55,True,True
2023-01-03,37.0,3,1,1,0.051619667223253764,0.998666816288476,37.0,36.5,36.5,37.5,36.56666666666667,True,True
2023-01-04,37.0,4,2,1,0.06880242680231986,0.9976303053065857,37.0,36.5,36.5,37.5,36.583333333333336,True,True
2023-01-05,36.5,5,3,1,0.08596479873744647,0.9962981749346078,37.0,36.5,36.5,37.5,36.583333333333336,True,True
2023-01-06,36.5,6,4,1,0.10310169744743485,0.9946708199115211,36.5,36.5,36.5,37.5,36.583333333333336,True,True
2023-01-07,36.5,7,5,1,0.1202080448993527,0.9927487224577402,36.5,37.0,36.5,37.5,36.583333333333336,True,True
2023-01-08,36.5,8,6,1,0.13727877211326478,0.9905324521322229,36.5,37.0,36.5,37.5,36.583333333333336,True,True
2023-01-09,36.5,9,0,1,0.15430882066428117,0.9880226656636976,36.5,37.0,36.5,37.5,36.583333333333336,True,True
2023-01-10,36.5,10,1,1,0.1712931441814776,0.9852201067560606,36.5,37.0,36.5,37.5,36.583333333333336,True,True
2023-01-11,36.5,11,2,1,0.1882267098432442,0.9821256058680006,36.5,37.0,36.5,37.5,36.583333333333336,True,True
2023-01-12,36.5,12,3,1,0.2051044998686192,0.9787400799669153,36.5,36.5,36.5,37.5,36.583333333333336,True,True
2023-01-13,36.5,13,4,1,0.2219215130041655,0.9750645322571948,36.5,36.5,36.5,37.5,36.583333333333336,True,True
2023-01-14,36.5,14,5,1,0.2386727660059501,0.9711000518829505,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-15,36.5,15,6,1,0.255353295116187,0.9668478136052775,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-16,36.5,16,0,1,0.2719581575341055,0.9623090774541486,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-17,36.5,17,1,1,0.288482432880609,0.9574851883550393,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-18,36.5,18,2,1,0.30492122465628907,0.9523775757303974,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-19,36.5,19,3,1,0.3212696616923644,0.9469877530760753,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-20,36.5,20,4,1,0.3375228995941133,0.9413173175128471,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-21,36.5,21,5,1,0.3536761221763716,0.9353679493131483,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-22,36.5,22,6,1,0.3697245428906731,0.9291414114031743,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-23,36.5,23,0,1,0.38566340624360707,0.9226395488404876,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-24,36.5,24,1,1,0.401487989205973,0.9158642882672872,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-25,36.5,25,2,1,0.4171936026123168,0.9088176373395029,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-26,36.5,26,3,1,0.4327755925504312,0.901501684131884,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-27,36.5,27,4,1,0.4482293417404106,0.893918596519257,36.5,36.5,36.5,37.0,36.583333333333336,True,True
2023-01-28,36.5,28,5,1,0.4635502709028509,0.886070621534138,36.5,36.5,36.5,37.5,36.583333333333336,True,True
2023-01-29,36.0,29,6,1,0.47873384011578846,0.8779600847008882,36.5,36.5,36.5,37.5,36.56666666666667,True,True
2023-01-30,36.0,30,0,1,0.49377555015997715,0.869589389346611,36.0,36.5,37.0,37.5,36.53333333333333,True,True
2023-01-31,36.0,31,1,1,0.5086709438521044,0.8609610158889943,36.0,36.5,37.0,37.5,36.5,True,True
2023-02-01,36.0,32,2,2,0.5234156073655503,0.8520775211013093,36.0,36.5,37.0,37.5,36.46666666666667,True,True
2023-02-02,36.0,33,3,2,0.5380051715382996,0.8429415373547828,36.0,36.5,37.0,37.5,36.43333333333333,True,True
2023-02-03,36.0,34,4,2,0.5524353131676196,0.8335557718385699,36.0,36.5,37.0,37.5,36.4,True,True
2023-02-04,36.0,35,5,2,0.5667017562911176,0.8239230057575542,36.0,36.5,36.5,37.5,36.38333333333333,True,True
2023-02-05,36.0,36,6,2,0.5808002734538009,0.8140460935082178,36.0,36.0,36.5,37.5,36.36666666666667,True,True
2023-02-06,36.0,37,0,2,0.5947266869607634,0.8039279618328213,36.0,36.0,36.5,37.5,36.35,True,True
2023-02-07,36.0,38,1,2,0.6084768701151261,0.7935716089521474,36.0,36.0,36.5,37.5,36.333333333333336,True,True
2023-02-08,36.0,39,2,2,0.6220467484408675,0.7829801036770629,36.0,36.0,36.5,37.5,36.31666666666667,True,True
2023-02-09,36.5,40,3,2,0.6354323008901774,0.7721565844991642,36.0,36.0,36.5,37.5,36.31666666666667,True,True
2023-02-10,36.5,41,4,2,0.6486295610349814,0.7611042586607747,36.5,36.0,36.5,37.5,36.31666666666667,True,True
2023-02-11,37.0,42,5,2,0.6616346182422783,0.7498264012045686,36.5,36.0,36.5,37.0,36.333333333333336,True,True
2023-02-12,37.5,43,6,2,0.6744436188329455,0.7383263540031065,37.0,36.0,36.5,37.0,36.36666666666667,True,True
2023-02-13,37.5,44,0,2,0.6870527672236669,0.7266075247685656,37.5,36.0,36.5,37.0,36.4,True,True
2023-02-14,37.5,45,1,2,0.699458327051647,0.7146733860429609,37.5,36.0,36.5,37.0,36.43333333333333,True,True
2023-02-15,37.5,46,2,2,0.7116566222817746,0.7025274741691571,37.5,36.0,36.5,37.0,36.46666666666667,True,True
2023-02-16,37.5,47,3,2,0.7236440382959124,0.6901733882429719,37.5,36.5,36.5,37.0,36.5,True,True
2023-02-17,37.5,48,4,2,0.7354170229639855,0.6776147890466889,37.5,36.5,36.5,37.0,36.53333333333333,True,True
2023-02-18,37.5,49,5,2,0.7469720876965552,0.6648553979642865,37.5,37.0,36.5,37.0,36.56666666666667,True,True
2023-02-19,37.5,50,6,2,0.7583058084785624,0.6518989958787126,37.5,37.5,36.5,37.0,36.6,True,True
2023-02-20,37.5,51,0,2,0.7694148268839378,0.6387494220515272,37.5,37.5,36.5,37.0,36.63333333333333,True,True
2023-02-21,37.5,52,1,2,0.7802958510707755,0.6254105729852463,37.5,37.5,36.5,37.0,36.666666666666664,True,True
