pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,prodPcat_其他类
2022-10-18,44.0,291,1,10,-0.9562348265919058,0.2926003356333479,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-19,44.0,292,2,10,-0.9510565162951536,0.30901699437494723,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-20,44.0,293,3,10,-0.9455963874271428,0.3253420847119795,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-21,44.0,294,4,10,-0.9398560579418953,0.341570769167856,44.0,44.0,44.0,35.0,44.0,True,True
2022-10-22,44.0,295,5,10,-0.9338372288229252,0.35769823883312546,44.0,44.0,44.0,35.0,44.0,True,True
2022-10-23,44.0,296,6,10,-0.9275416835791965,0.3737197147904692,44.0,44.0,44.0,35.0,44.0,True,True
2022-10-24,44.0,297,0,10,-0.9209712877166347,0.38963044953078774,44.0,44.0,44.0,35.0,44.0,True,True
2022-10-25,44.0,298,1,10,-0.9141279881853337,0.4054257283599973,44.0,44.0,44.0,35.0,44.0,True,True
2022-10-26,44.0,299,2,10,-0.9070138128026362,0.42110087079608916,44.0,44.0,44.0,35.0,44.0,True,True
2022-10-27,44.0,300,3,10,-0.8996308696522434,0.4366512319560638,44.0,44.0,44.0,35.0,44.0,True,True
2022-10-28,44.0,301,4,10,-0.8919813464595487,0.45207220393230374,44.0,44.0,44.0,35.0,44.0,True,True
2022-10-29,44.0,302,5,10,-0.8840675099433637,0.46735921715800205,44.0,44.0,44.0,36.0,44.0,True,True
2022-10-30,44.0,303,6,10,-0.8758917051442433,0.48250774176121763,44.0,44.0,44.0,36.0,44.0,True,True
2022-10-31,44.0,304,0,10,-0.8674563547295971,0.4975132889071803,44.0,44.0,44.0,36.0,44.0,True,True
2022-11-01,44.0,305,1,11,-0.858763958275803,0.5123714121284235,44.0,44.0,44.0,36.0,44.0,True,True
2022-11-02,41.5,306,2,11,-0.8498170915275277,0.5270777086423724,44.0,44.0,44.0,36.0,43.916666666666664,True,True
2022-11-03,39.0,307,3,11,-0.8406184056344783,0.5416278206559811,41.5,44.0,44.0,36.0,43.75,True,True
2022-11-04,39.0,308,4,11,-0.8311706263658079,0.5560174366570446,39.0,44.0,44.0,36.0,43.583333333333336,True,True
2022-11-05,39.0,309,5,11,-0.8214765533024145,0.5702422926917867,39.0,44.0,44.0,36.0,43.416666666666664,True,True
2022-11-06,39.0,310,6,11,-0.8115390590073611,0.5842981736283683,39.0,44.0,44.0,36.0,43.25,True,True
2022-11-07,39.0,311,0,11,-0.801361088174677,0.5981809144059158,39.0,44.0,44.0,36.0,43.083333333333336,True,True
2022-11-08,38.75,312,1,11,-0.7909456567567774,0.6118864012687242,39.0,44.0,44.0,36.0,42.90833333333333,True,True
2022-11-09,38.5,313,2,11,-0.780295851070776,0.6254105729852457,38.75,41.5,44.0,36.0,42.725,True,True
2022-11-10,38.5,314,3,11,-0.7694148268839381,0.6387494220515268,38.5,39.0,44.0,36.0,42.541666666666664,True,True
2022-11-11,38.5,315,4,11,-0.7583058084785625,0.6518989958787125,38.5,39.0,44.0,36.0,42.358333333333334,True,True
2022-11-12,38.5,316,5,11,-0.7469720876965551,0.6648553979642866,38.5,39.0,44.0,36.0,42.175,True,True
2022-11-13,38.5,317,6,11,-0.7354170229639858,0.6776147890466887,38.5,39.0,44.0,36.0,41.99166666666667,True,True
2022-11-14,38.5,318,0,11,-0.7236440382959124,0.690173388242972,38.5,39.0,44.0,36.0,41.80833333333333,True,True
2022-11-15,38.5,319,1,11,-0.711656622281775,0.7025274741691566,38.5,38.75,44.0,36.0,41.625,True,True
2022-11-16,38.5,320,2,11,-0.6994583270516471,0.7146733860429608,38.5,38.5,44.0,36.0,41.44166666666667,True,True
2022-11-17,38.5,321,3,11,-0.6870527672236675,0.7266075247685652,38.5,38.5,44.0,36.0,41.25833333333333,True,True
2022-11-18,38.5,322,4,11,-0.6744436188329457,0.7383263540031063,38.5,38.5,44.0,36.0,41.075,True,True
2022-11-19,38.5,323,5,11,-0.661634618242279,0.749826401204568,38.5,38.5,44.0,36.0,40.891666666666666,True,True
2022-11-20,38.5,324,6,11,-0.6486295610349818,0.7611042586607742,38.5,38.5,44.0,36.0,40.708333333333336,True,True
2022-11-21,38.5,325,0,11,-0.6354323008901775,0.7721565844991641,38.5,38.5,44.0,36.0,40.525,True,True
2022-11-22,38.5,326,1,11,-0.622046748440868,0.7829801036770624,38.5,38.5,44.0,36.0,40.34166666666667,True,True
2022-11-23,38.5,327,2,11,-0.6084768701151264,0.7935716089521472,38.5,38.5,44.0,36.833333333333336,40.15833333333333,True,True
2022-11-24,38.5,328,3,11,-0.594726686960764,0.8039279618328208,38.5,38.5,44.0,37.666666666666664,39.975,True,True
2022-11-25,38.5,329,4,11,-0.5808002734538013,0.8140460935082175,38.5,38.5,44.0,38.5,39.791666666666664,True,True
2022-11-26,38.5,330,5,11,-0.5667017562911184,0.8239230057575536,38.5,38.5,44.0,38.5,39.608333333333334,True,True
2022-11-27,38.5,331,6,11,-0.5524353131676203,0.8335557718385695,38.5,38.5,44.0,38.5,39.425,True,True
2022-11-28,38.5,332,0,11,-0.5380051715382992,0.8429415373547832,38.5,38.5,44.0,38.5,39.24166666666667,True,True
2022-11-29,38.5,333,1,11,-0.5234156073655503,0.8520775211013093,38.5,38.5,44.0,38.5,39.05833333333333,True,True
2022-11-30,38.5,334,2,11,-0.5086709438521042,0.8609610158889945,38.5,38.5,44.0,38.5,38.875,True,True
2022-12-01,38.5,335,3,12,-0.49377555015997737,0.8695893893466109,38.5,38.5,44.0,38.5,38.69166666666667,True,True
2022-12-02,38.5,336,4,12,-0.4787338401157883,0.8779600847008883,38.5,38.5,41.5,38.5,38.59166666666667,True,True
2022-12-03,38.5,337,5,12,-0.4635502709028512,0.8860706215341378,38.5,38.5,39.0,35.0,38.575,True,True
2022-12-04,38.5,338,6,12,-0.4482293417404106,0.893918596519257,38.5,38.5,39.0,35.0,38.55833333333333,True,True
2022-12-05,38.5,339,0,12,-0.4327755925504317,0.9015016841318838,38.5,38.5,39.0,35.0,38.541666666666664,True,True
2022-12-06,38.5,340,1,12,-0.41719360261231697,0.9088176373395028,38.5,38.5,39.0,35.0,38.525,True,True
2022-12-07,38.5,341,2,12,-0.4014879892059737,0.9158642882672868,38.5,38.5,39.0,35.0,38.50833333333333,True,True
2022-12-08,38.5,342,3,12,-0.38566340624360745,0.9226395488404875,38.5,38.5,38.75,35.0,38.5,True,True
2022-12-09,38.5,343,4,12,-0.3697245428906732,0.9291414114031743,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-10,38.5,344,5,12,-0.3536761221763721,0.935367949313148,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-11,38.5,345,6,12,-0.33752289959411347,0.941317317512847,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-12,38.5,346,0,12,-0.32126966169236515,0.9469877530760751,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-13,38.5,347,1,12,-0.3049212246562894,0.9523775757303973,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-14,38.5,348,2,12,-0.2884824328806098,0.9574851883550389,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-15,38.5,349,3,12,-0.27195815753410524,0.9623090774541487,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-16,38.5,350,4,12,-0.2553532951161881,0.9668478136052773,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-17,38.5,351,5,12,-0.23867276600594997,0.9711000518829505,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-18,38.5,352,6,12,-0.22192151300416674,0.9750645322571945,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-19,38.5,353,0,12,-0.20510449986861926,0.9787400799669153,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-20,38.5,354,1,12,-0.1882267098432439,0.9821256058680006,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-21,38.5,355,2,12,-0.1712931441814778,0.9852201067560606,38.5,38.5,38.5,35.0,38.5,True,True
2022-12-22,38.5,356,3,12,-0.154308820664281,0.9880226656636976,38.5,38.5,38.5,35.0,38.5,True,True
