pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_散装,prodPcat_干果
2022-11-06,12.75,310,6,11,-0.8115390590073611,0.5842981736283683,12.75,12.75,12.9,13.25,12.754999999999999,True,True
2022-11-07,12.75,311,0,11,-0.801361088174677,0.5981809144059158,12.75,12.75,12.85,13.25,12.751666666666667,True,True
2022-11-08,12.75,312,1,11,-0.7909456567567774,0.6118864012687242,12.75,12.75,12.8,13.25,12.75,True,True
2022-11-09,12.75,313,2,11,-0.780295851070776,0.6254105729852457,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-10,12.75,314,3,11,-0.7694148268839381,0.6387494220515268,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-11,12.75,315,4,11,-0.7583058084785625,0.6518989958787125,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-12,12.75,316,5,11,-0.7469720876965551,0.6648553979642866,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-13,12.75,317,6,11,-0.7354170229639858,0.6776147890466887,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-14,12.75,318,0,11,-0.7236440382959124,0.690173388242972,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-15,12.75,319,1,11,-0.711656622281775,0.7025274741691566,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-16,12.75,320,2,11,-0.6994583270516471,0.7146733860429608,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-17,12.75,321,3,11,-0.6870527672236675,0.7266075247685652,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-18,12.75,322,4,11,-0.6744436188329457,0.7383263540031063,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-19,12.75,323,5,11,-0.661634618242279,0.749826401204568,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-20,12.75,324,6,11,-0.6486295610349818,0.7611042586607742,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-21,12.75,325,0,11,-0.6354323008901775,0.7721565844991641,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-22,12.75,326,1,11,-0.622046748440868,0.7829801036770624,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-23,12.75,327,2,11,-0.6084768701151264,0.7935716089521472,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-24,12.75,328,3,11,-0.594726686960764,0.8039279618328208,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-25,12.75,329,4,11,-0.5808002734538013,0.8140460935082175,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-26,12.75,330,5,11,-0.5667017562911184,0.8239230057575536,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-27,12.75,331,6,11,-0.5524353131676203,0.8335557718385695,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-28,12.75,332,0,11,-0.5380051715382992,0.8429415373547832,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-29,12.75,333,1,11,-0.5234156073655503,0.8520775211013093,12.75,12.75,12.75,13.25,12.75,True,True
2022-11-30,12.75,334,2,11,-0.5086709438521042,0.8609610158889945,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-01,12.75,335,3,12,-0.49377555015997737,0.8695893893466109,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-02,12.75,336,4,12,-0.4787338401157883,0.8779600847008883,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-03,12.75,337,5,12,-0.4635502709028512,0.8860706215341378,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-04,12.75,338,6,12,-0.4482293417404106,0.893918596519257,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-05,12.75,339,0,12,-0.4327755925504317,0.9015016841318838,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-06,12.75,340,1,12,-0.41719360261231697,0.9088176373395028,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-07,12.75,341,2,12,-0.4014879892059737,0.9158642882672868,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-08,12.75,342,3,12,-0.38566340624360745,0.9226395488404875,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-09,12.75,343,4,12,-0.3697245428906732,0.9291414114031743,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-10,12.75,344,5,12,-0.3536761221763721,0.935367949313148,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-11,12.75,345,6,12,-0.33752289959411347,0.941317317512847,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-12,12.75,346,0,12,-0.32126966169236515,0.9469877530760751,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-13,12.75,347,1,12,-0.3049212246562894,0.9523775757303973,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-14,12.75,348,2,12,-0.2884824328806098,0.9574851883550389,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-15,12.75,349,3,12,-0.27195815753410524,0.9623090774541487,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-16,12.75,350,4,12,-0.2553532951161881,0.9668478136052773,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-17,12.75,351,5,12,-0.23867276600594997,0.9711000518829505,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-18,12.75,352,6,12,-0.22192151300416674,0.9750645322571945,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-19,12.75,353,0,12,-0.20510449986861926,0.9787400799669153,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-20,12.75,354,1,12,-0.1882267098432439,0.9821256058680006,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-21,12.75,355,2,12,-0.1712931441814778,0.9852201067560606,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-22,12.75,356,3,12,-0.154308820664281,0.9880226656636976,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-23,12.75,357,4,12,-0.13727877211326517,0.9905324521322227,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-24,12.75,358,5,12,-0.12020804489935275,0.9927487224577402,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-25,12.75,359,6,12,-0.10310169744743544,0.9946708199115211,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-26,12.75,360,0,12,-0.0859647987374467,0.9962981749346077,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-27,12.75,361,1,12,-0.06880242680232064,0.9976303053065857,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-28,12.75,362,2,12,-0.05161966722325418,0.9986668162884759,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-29,12.75,363,3,12,-0.034421611622745804,0.9994074007397048,12.75,12.75,12.75,13.25,12.75,True,True
