pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,specInfo_鲜,prodPcat_海水鱼,prodPcat_虾蟹类
2023-02-08,16.5,39,2,2,0.6220467484408675,0.7829801036770629,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-09,63.8062015503876,40,3,2,0.6354323008901774,0.7721565844991642,63.741602067183464,63.354005167958654,61.86821705426357,40.22739018087855,62.86950904392765,True,False,True,False
2023-02-09,37.5,40,3,2,0.6354323008901774,0.7721565844991642,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-09,16.5,40,3,2,0.6354323008901774,0.7721565844991642,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-10,37.5,41,4,2,0.6486295610349814,0.7611042586607747,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-10,16.5,41,4,2,0.6486295610349814,0.7611042586607747,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-10,63.87080103359173,41,4,2,0.6486295610349814,0.7611042586607747,63.8062015503876,63.41860465116279,61.9328165374677,40.291989664082685,62.934108527131784,True,False,True,False
2023-02-11,16.5,42,5,2,0.6616346182422783,0.7498264012045686,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-11,63.935400516795866,42,5,2,0.6616346182422783,0.7498264012045686,63.87080103359173,63.48320413436692,61.997416020671835,40.35658914728682,62.99870801033592,True,False,True,False
2023-02-11,37.5,42,5,2,0.6616346182422783,0.7498264012045686,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-12,16.5,43,6,2,0.6744436188329455,0.7383263540031065,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-12,64.0,43,6,2,0.6744436188329455,0.7383263540031065,63.935400516795866,63.547803617571056,62.06201550387597,40.42118863049095,63.063307493540044,True,False,True,False
2023-02-12,37.5,43,6,2,0.6744436188329455,0.7383263540031065,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-13,64.0,44,0,2,0.6870527672236669,0.7266075247685656,64.0,63.6124031007752,62.1266149870801,40.485788113695094,63.12575366063738,True,False,True,False
2023-02-13,37.5,44,0,2,0.6870527672236669,0.7266075247685656,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-13,16.5,44,0,2,0.6870527672236669,0.7266075247685656,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-14,37.5,45,1,2,0.699458327051647,0.7146733860429609,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-14,16.5,45,1,2,0.699458327051647,0.7146733860429609,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-14,64.0,45,1,2,0.699458327051647,0.7146733860429609,64.0,63.67700258397933,62.19121447028424,40.55038759689923,63.1860465116279,True,False,True,False
2023-02-15,37.5,46,2,2,0.7116566222817746,0.7025274741691571,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-15,16.5,46,2,2,0.7116566222817746,0.7025274741691571,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-15,64.0,46,2,2,0.7116566222817746,0.7025274741691571,64.0,63.741602067183464,62.25581395348837,40.61498708010336,63.24418604651162,True,False,True,False
2023-02-16,16.5,47,3,2,0.7236440382959124,0.6901733882429719,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-16,64.0,47,3,2,0.7236440382959124,0.6901733882429719,64.0,63.8062015503876,62.320413436692505,40.679586563307495,63.300172265288545,True,False,True,False
2023-02-16,37.5,47,3,2,0.7236440382959124,0.6901733882429719,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-17,64.0,48,4,2,0.7354170229639855,0.6776147890466889,64.0,63.87080103359173,62.38501291989664,40.74418604651163,63.354005167958654,True,False,True,False
2023-02-17,37.5,48,4,2,0.7354170229639855,0.6776147890466889,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-17,16.5,48,4,2,0.7354170229639855,0.6776147890466889,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-18,64.0,49,5,2,0.7469720876965552,0.6648553979642865,64.0,63.935400516795866,62.44961240310077,40.80878552971576,63.405684754521964,True,False,True,False
2023-02-18,37.5,49,5,2,0.7469720876965552,0.6648553979642865,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-18,16.5,49,5,2,0.7469720876965552,0.6648553979642865,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-19,64.0,50,6,2,0.7583058084785624,0.6518989958787126,64.0,64.0,62.514211886304906,40.8733850129199,63.45521102497846,True,False,True,False
2023-02-19,16.5,50,6,2,0.7583058084785624,0.6518989958787126,16.5,16.5,16.5,16.5,16.5,False,True,True,False
